sentence,english,pinyin,vocab_s,hanzi_s,tag_s
一山容二虎，除非一共和一母。,,,容，除非,,2018-11-22
一山不能容二虎。,,,,,
昨晚做梦梦见吃意大利面，早上醒来发现鞋带没了！,,,做梦，鞋带，携带,,
你让我滚，我滚了。你让我回来，对不起，滚远了！,,,滚，远,,
别和我谈理想，戒了！,,,戒烟，戒毒，戒子,,
这年头猪都涨价，还要我降价。,,,涨价，降价，价格，价值,,
骗子太多，傻子明显不够用了。,,,骗子，傻子，明显，够,,
不怕一万，就怕万一。,,,,,
我就是巴黎欧莱雅，你值得拥有！,,,巴黎，欧莱雅，值得，拥有,,
保护自己，爱护他人，请不要半夜出来吓人……,,,吓，护，保护,,
广告看的好好的，突然蹦出个电视剧。,,,广告，突然，蹦，电视剧,,
我说过做人要低调。可你非要给我掌声和尖叫。,,,非要，尖叫，掌声，低调,,
为配合今年中国计划生育工作的胜利完成，本人决定暂时不和异性朋友接触，谢谢合作。,,,生育，计划，本人，配合，合作，暂时，接触，异性,,
嘴巴那么毒，喝农药长大的吗？,,,嘴巴，农药,,2018-11-23
喝农药长大。,,,,,
,,,,,
