english	simplified	traditional	pinyin	japanese	related	frequency
to feel/to become aware of/feeling/sense/perception/CL:個|个[ge4]	感觉	感覺	gan3 jue2			288.0
to achieve/to implement/to realize/to bring about	实现	實現	shi2 xian4			200.0
to implement/to carry out/to put into practice	实行	實行	shi2 xing2			166.0
absolute/unconditional	绝对	絕對	jue2 dui4			141.0
authority/power/right/(literary) to weigh/expedient/temporary	权	權，權	quan2			120.0
equal/equality	平等		ping2 deng3			75.9
to promise/to undertake to do something/commitment	承诺	承諾	cheng2 nuo4			44.7
toilet/lavatory/CL:間|间[jian1],處|处[chu4]	厕所	廁所	ce4 suo3			41.7
classroom/CL:間|间[jian1]	课堂	課堂	ke4 tang2			15.8
to be fast asleep/(fig.) to lie dormant/to lie undiscovered	沉睡		chen2 shui4			5.37
(spoken) why?/for which reason?	凭什么	憑什麼	ping2 shen2 me5			4.86
be buried under alcohol	埋醉		mai2 zui5			1.12
alcohol table	酒桌		jiu3 zhuo1			0.907
"half kilogram	"	一斤		yi4 jin1			0.707
"service worker		"	客服人员		ke4 fu2 ren2 yuan2			0.107
ask this and that	答这答那		da2 zhe4 da2 na4			0.024
*uck it	艹你妈		cao3 ni3 ma1			0.003
